"Gene_ID","Slyc_P3_m_1","Slyc_P3_m_2","Slyc_P3_m_3","Slyc_P4_d_1","Slyc_P4_d_2","Slyc_P4_d_3","Slyc_P4_p_1","Slyc_P4_p_2","Slyc_P4_p_3","Slyc_P5_d_1","Slyc_P5_d_2","Slyc_P5_d_3","Slyc_P5_p_1","Slyc_P5_p_2","Slyc_P5_p_3","Slyc_P6_d_1","Slyc_P6_d_2","Slyc_P6_d_3","Slyc_P6_p_1","Slyc_P6_p_2","Slyc_P6_p_3","Spen_P3_m_1","Spen_P3_m_2","Spen_P3_m_3","Spen_P4_d_1","Spen_P4_d_2","Spen_P4_d_3","Spen_P4_p_1","Spen_P4_p_2","Spen_P4_p_3","Spen_P5_d_1","Spen_P5_d_2","Spen_P5_d_3","Spen_P5_p_1","Spen_P5_p_2","Spen_P5_p_3","Spen_P6_d_1","Spen_P6_d_2","Spen_P6_d_3","Spen_P6_p_1","Spen_P6_p_2","Spen_P6_p_3","Shab_P3_m_1","Shab_P3_m_2","Shab_P3_m_3","Shab_P4_d_1","Shab_P4_d_2","Shab_P4_d_3","Shab_P4_p_1","Shab_P4_p_2","Shab_P4_p_3","Shab_P5_d_1","Shab_P5_d_2","Shab_P5_d_3","Shab_P5_p_1","Shab_P5_p_2","Shab_P5_p_3","Shab_P6_d_1","Shab_P6_d_2","Shab_P6_d_3","Shab_P6_p_1","Shab_P6_p_2","Shab_P6_p_3"
"Solyc02g067050.2.1",28,194,171,50,257,363,102,247,158,73,244,209,79,152,219,279,498,812,108,278,373,42,33,52,164,302,432,46,161,111,545,935,579,586,534,369,1006,1054,837,605,1366,1367,30,38,129,86,107,244,20,30,155,239,276,512,58,51,224,342,369,855,306,252,595
"Solyc02g069390.1.1",46,37,46,9,24,18,27,52,47,17,11,4,41,41,25,8,4,4,12,20,17,29,14,37,3,5,2,9,7,9,1,1,NA,8,8,7,1,2,NA,2,3,6,38,36,35,9,10,6,17,24,43,5,4,3,25,16,16,7,4,7,6,10,12
"Solyc02g071980.2.1",23,27,35,18,28,25,33,27,36,23,24,8,44,20,15,27,17,26,25,19,23,15,16,32,22,12,29,25,28,37,19,23,27,42,20,34,37,73,37,23,46,34,25,16,21,21,22,17,21,19,25,22,14,29,29,21,27,17,18,25,36,21,37
"Solyc02g072050.1.1",6,3,3,5,1,2,1,2,1,1,1,NA,6,6,5,4,1,1,2,NA,2,NA,NA,NA,NA,1,NA,NA,1,3,1,1,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA
"Solyc02g077050.2.1",13,12,3,35,25,11,13,20,15,38,28,3,21,21,7,36,37,26,28,28,13,6,10,7,21,24,24,22,13,10,26,15,14,67,27,29,20,19,27,23,11,17,21,11,7,20,19,12,18,10,12,14,28,7,22,22,11,19,27,20,18,15,18
"Solyc02g077950.1.1",88,61,79,51,41,44,44,46,48,46,30,10,45,62,27,43,17,47,42,23,38,25,19,35,28,20,18,45,22,36,15,17,11,31,18,45,14,22,16,10,13,13,45,23,32,20,13,16,11,29,30,18,14,11,27,21,33,21,12,14,24,13,18
"Solyc02g077960.1.1",38,27,40,6,6,2,7,9,7,2,2,NA,12,6,9,2,NA,2,4,4,2,8,5,8,4,1,3,8,3,9,2,2,2,3,4,2,2,NA,NA,1,2,1,25,9,19,4,2,4,3,8,10,1,NA,5,7,3,6,2,NA,6,8,6,9
"Solyc02g079050.2.1",54,32,34,28,36,24,23,35,30,53,40,15,50,42,26,55,40,35,42,47,21,46,46,50,31,16,29,41,43,42,13,6,11,58,23,24,10,13,14,7,2,18,67,47,61,50,48,28,28,52,31,50,42,30,70,53,53,39,23,28,46,37,57
"Solyc02g079140.1.1",6,2,4,3,1,NA,1,NA,3,5,NA,NA,1,NA,NA,1,NA,NA,3,NA,1,7,13,9,3,2,6,7,4,5,4,NA,2,2,1,NA,NA,NA,NA,1,NA,1,11,5,18,7,2,6,7,4,7,3,4,1,10,10,7,5,NA,4,10,5,5
"Solyc02g080120.1.1",13,10,32,3,13,12,15,13,22,2,6,3,13,11,12,1,1,4,3,3,12,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,NA,NA,2,3,4,2,2,NA,2,9,1,1,2,6,NA,3,3,NA,3,5,6,1,3
"Solyc02g080510.1.1",122,57,85,55,36,99,100,54,49,57,37,26,111,67,37,19,7,36,56,38,43,21,32,31,13,17,9,26,13,25,15,9,2,24,11,3,8,7,1,10,14,3,50,22,22,14,5,7,25,25,28,4,8,5,20,18,17,9,5,4,25,15,13
"Solyc02g080530.2.1",1324,816,1341,912,1065,1426,924,1088,1337,780,790,386,1477,1278,992,524,384,574,1040,893,839,465,344,491,255,138,202,372,262,320,137,72,117,682,180,234,102,176,99,143,112,165,1747,967,1157,1119,1036,765,900,1135,1332,838,879,880,1558,1382,1399,736,496,497,1575,1095,989
"Solyc02g082170.1.1",1,NA,3,NA,NA,NA,1,1,5,1,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,2,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA
"Solyc02g082510.1.1",12,11,12,6,11,9,16,15,7,21,7,5,21,20,9,16,15,11,9,19,6,16,18,17,13,15,17,23,21,11,16,13,16,30,24,14,24,47,27,19,24,21,23,9,12,12,14,15,12,14,16,17,10,16,19,19,25,17,14,14,16,15,21
"Solyc02g083280.2.1",26,146,129,19,97,83,70,100,103,16,65,38,33,83,85,57,79,196,26,77,101,56,45,379,44,74,577,32,53,385,181,248,755,179,153,1315,286,761,781,207,333,832,48,37,191,40,44,147,29,47,233,34,60,251,38,51,212,79,181,335,98,129,293
"Solyc02g084570.2.1",6,6,5,7,19,7,7,14,7,11,6,3,16,7,11,5,5,16,12,8,6,4,1,2,2,8,4,2,1,3,10,5,12,15,5,18,7,6,12,5,3,10,10,2,7,4,6,8,6,6,11,6,10,8,8,7,8,5,13,13,16,14,15
"Solyc02g084950.2.1",70,33,53,88,121,87,84,79,139,66,57,42,102,118,129,73,65,116,146,100,138,26,25,30,21,7,11,29,30,31,11,3,14,65,12,23,5,17,10,13,7,13,115,55,56,33,34,44,53,44,73,40,46,77,93,53,131,48,54,53,88,54,137
"Solyc02g086210.2.1",4,NA,9,7,14,8,4,11,8,9,12,4,13,18,10,4,3,8,2,8,6,3,5,NA,NA,3,3,2,2,3,1,NA,1,5,NA,1,1,1,2,4,NA,NA,3,3,6,1,3,2,6,5,9,4,2,7,4,11,6,7,2,7,9,8,3
"Solyc02g087600.2.1",20,10,19,13,18,22,10,22,25,11,18,10,16,28,19,19,21,31,9,24,21,6,8,9,5,2,9,6,6,13,2,1,1,20,4,2,1,4,1,2,1,2,8,8,14,17,11,9,5,16,16,14,6,17,15,17,24,22,8,14,14,9,21
"Solyc02g088530.1.1",2,4,2,3,1,3,3,3,2,2,5,NA,7,7,5,4,2,3,5,NA,3,3,3,2,4,1,2,5,3,2,1,1,NA,5,NA,2,3,1,1,1,1,3,6,4,3,7,4,5,3,2,5,4,6,2,4,4,4,NA,5,6,4,1,4
"Solyc02g089900.1.1",27,13,11,13,13,9,18,23,9,26,26,4,31,29,9,16,10,14,22,9,7,14,20,21,22,10,9,18,15,15,13,14,11,18,10,8,8,7,10,13,5,15,22,2,5,7,6,3,10,9,10,7,5,9,6,5,8,6,8,12,5,7,6
"Solyc02g090720.2.1",25,11,17,17,23,15,30,30,25,11,13,4,47,38,21,12,7,9,16,18,10,19,6,22,2,2,3,9,8,16,1,1,2,10,4,5,2,3,1,2,NA,1,58,43,69,35,28,40,51,40,64,8,15,31,37,40,63,18,10,19,26,41,27
"Solyc02g091310.1.1",30,29,39,2,2,NA,2,2,4,4,NA,NA,1,2,1,1,1,1,4,NA,1,14,4,16,NA,1,3,1,2,1,3,1,1,6,3,1,1,1,NA,1,NA,1,23,10,15,NA,8,2,5,3,4,3,4,6,5,4,5,8,6,3,5,1,3
"Solyc02g092060.1.1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Solyc02g093280.2.1",40,21,31,11,3,5,27,14,5,7,4,2,21,13,5,4,1,5,4,4,3,21,8,7,3,2,3,12,4,1,2,NA,1,1,1,2,NA,2,NA,1,NA,NA,39,19,10,9,9,3,10,8,8,3,3,1,17,9,4,2,3,4,7,7,3
"Solyc02g093480.2.1",8,5,5,5,4,3,7,10,2,9,4,NA,14,6,7,14,5,2,9,5,7,11,3,2,2,1,NA,6,3,4,NA,2,1,8,6,1,1,NA,NA,3,NA,2,22,6,1,6,6,4,4,9,6,4,6,4,11,7,9,4,2,2,4,4,7
"Solyc03g005300.2.1",51,32,19,28,25,31,36,40,31,48,34,12,91,38,18,39,31,20,46,39,18,48,42,43,50,26,58,61,36,53,30,23,39,65,37,48,40,33,29,35,31,49,79,26,37,41,21,24,44,36,48,37,31,30,44,34,37,32,30,30,60,39,32
"Solyc03g006810.2.1",1,2,3,1,4,4,4,5,2,8,6,3,4,3,3,3,4,3,1,4,1,3,4,5,NA,2,8,3,2,4,1,1,3,6,NA,11,2,1,NA,2,4,4,2,NA,NA,1,1,1,NA,1,2,NA,5,2,1,1,1,5,9,5,4,3,5
"Solyc03g007060.2.1",7,3,9,5,7,7,3,4,8,5,5,7,3,7,7,6,4,6,3,6,5,1,2,3,NA,NA,1,2,NA,NA,NA,NA,1,3,2,2,NA,NA,NA,NA,1,NA,6,2,NA,4,7,NA,3,4,3,1,2,2,1,1,3,4,NA,NA,2,3,3
"Solyc03g007290.2.1",5,2,4,NA,4,2,2,4,1,NA,1,NA,1,NA,NA,1,NA,2,1,1,1,2,2,4,1,NA,2,NA,NA,1,1,1,1,6,3,3,1,3,2,NA,1,1,3,3,3,NA,1,2,1,4,1,NA,NA,1,2,1,NA,1,NA,2,NA,NA,1
"Solyc03g007710.2.1",23,14,22,27,24,24,26,20,23,45,50,7,25,36,19,54,30,24,53,40,16,33,16,19,22,18,15,29,21,19,2,1,3,27,5,6,3,4,NA,NA,NA,2,22,11,5,37,25,7,16,12,13,32,11,20,32,13,17,18,15,7,38,24,12
"Solyc03g007760.2.1",23,25,9,24,31,16,15,39,8,73,32,10,38,18,12,60,25,42,42,31,14,49,55,66,74,44,81,118,86,90,73,51,42,133,75,96,70,41,43,95,59,78,48,12,15,63,48,29,37,37,31,68,66,42,91,62,52,77,47,39,77,45,49
"Solyc03g007870.2.1",7,3,6,6,8,6,3,2,8,6,6,1,5,8,8,12,6,11,10,6,6,5,2,8,5,4,9,10,3,6,5,8,6,11,1,15,5,35,25,7,10,10,7,3,2,1,5,2,1,1,2,1,NA,NA,3,2,3,4,3,2,3,5,1
"Solyc03g019850.2.1",32,31,41,29,43,43,30,41,46,23,24,9,33,46,32,32,43,41,33,28,43,15,17,21,15,9,16,23,18,37,11,10,7,32,8,17,20,29,21,13,11,12,21,22,21,14,16,19,16,26,17,14,8,17,22,31,26,18,18,22,21,17,20
"Solyc03g031800.2.1",21,13,6,8,10,5,16,12,8,7,7,2,26,16,3,11,8,7,32,19,8,3,9,9,10,17,7,11,15,14,11,13,7,30,20,31,9,13,5,22,24,17,11,5,1,5,3,4,4,4,3,1,3,1,2,9,7,11,7,14,15,24,8
"Solyc03g033550.2.1",NA,1,NA,1,1,1,NA,2,NA,1,NA,1,2,3,NA,3,NA,5,1,3,5,2,1,2,6,1,8,7,NA,4,1,2,2,4,3,5,1,1,2,2,1,2,1,1,NA,2,NA,1,1,NA,1,NA,NA,1,NA,NA,1,NA,2,NA,2,2,NA
"Solyc03g034010.2.1",24,10,6,19,22,9,16,13,12,16,13,9,24,23,14,37,17,12,32,18,6,5,7,2,5,8,1,6,2,6,5,8,6,11,9,5,4,5,NA,3,5,4,28,12,9,12,4,2,12,12,10,10,5,7,22,11,10,10,3,7,18,7,12
"Solyc03g051940.1.1",2,1,4,NA,3,NA,2,NA,NA,NA,2,NA,1,3,3,NA,1,1,2,NA,1,2,7,14,6,3,11,6,5,9,3,1,6,1,2,12,2,2,4,1,1,5,1,1,2,3,3,2,1,2,5,4,NA,3,2,2,3,2,2,1,2,1,3
"Solyc03g062870.1.1",3,NA,1,NA,2,NA,NA,1,NA,2,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,NA,2,1,NA,NA,NA,1,1,NA,NA,NA,1,1,2,2,2,1,NA,3,2,NA,5,1,2,3,1,2,1,2
"Solyc03g097530.2.1",7,NA,1,3,3,2,4,5,4,3,3,NA,6,1,4,NA,3,1,1,2,1,4,NA,5,1,NA,NA,6,1,5,NA,NA,NA,3,3,2,2,NA,1,NA,1,NA,10,3,NA,2,1,1,NA,5,3,1,3,4,4,4,1,3,3,NA,2,2,1
"Solyc03g097920.1.1",36,19,26,22,21,14,23,14,25,25,34,20,39,14,13,34,13,23,33,12,9,26,20,25,26,12,18,25,21,17,18,21,11,26,16,21,19,46,26,15,26,27,49,10,81,40,30,67,35,26,67,52,31,97,44,34,88,29,30,56,30,46,71
"Solyc03g110930.2.1",10,3,9,9,8,3,13,7,9,10,10,3,9,15,10,4,6,6,3,6,6,15,5,8,9,12,15,17,12,12,4,2,NA,16,4,9,NA,1,NA,4,1,4,21,13,8,12,15,7,9,11,9,10,5,10,11,9,11,6,8,4,13,13,4
"Solyc03g123400.1.1",1,NA,NA,NA,1,NA,NA,3,2,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,1,1,2,3,5,NA,3,NA,2,11,2,5,5,1,9,9,5,7,9,8,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,1,1,1,1,NA,NA,NA,1
"Solyc04g007400.2.1",5,NA,1,8,11,13,14,14,15,9,11,2,15,17,19,11,15,17,43,19,19,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,4,NA,1,NA,1,NA,2,2,NA,1,1,2,NA,NA,1,2,3,1,1,1,1,4,2,2,2,1,2,7,5,1
"Solyc04g010320.1.1",4,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,3,NA,1,NA,1,NA,NA,NA,NA,3,NA,NA,1,NA,1,NA,NA
"Solyc04g010330.2.1",16,7,5,NA,1,NA,11,5,2,2,NA,NA,6,1,NA,NA,NA,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,1,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,10,5,2,2,NA,NA,4,3,1,NA,NA,3,3,3,NA,2,NA,NA,2,NA,NA
"Solyc04g011540.2.1",85,35,36,14,18,4,21,22,16,25,14,2,23,18,8,17,12,3,26,11,8,56,23,30,10,9,7,23,11,13,7,4,3,17,2,5,3,9,8,2,3,5,92,38,23,14,11,3,38,16,10,9,7,5,20,10,7,6,10,6,12,9,11
"Solyc04g015020.2.1",18,13,20,7,6,13,17,12,15,15,8,4,19,14,14,12,18,22,10,18,15,12,9,14,10,10,21,12,13,13,16,31,10,33,13,17,34,36,17,24,31,33,16,6,14,14,14,17,3,12,16,13,16,38,12,10,23,18,14,44,18,14,49
"Solyc04g017750.2.1",51,33,59,31,51,63,40,46,69,49,46,23,66,61,26,38,22,42,29,33,36,33,53,56,20,35,52,50,34,64,47,35,32,69,33,54,50,71,55,36,32,56,75,42,81,50,54,47,37,42,79,35,36,49,50,44,71,33,61,39,43,39,58
"Solyc04g054910.2.1",47,29,33,75,55,37,48,57,44,50,29,10,105,54,33,63,23,34,40,33,22,52,67,60,70,36,99,67,81,74,89,85,84,122,64,79,231,210,122,85,128,107,77,46,29,62,63,31,64,40,64,69,94,105,89,77,80,73,79,85,96,70,78
"Solyc04g078650.2.1",15,2,1,7,6,1,9,5,3,11,5,1,10,5,3,11,7,4,11,7,8,7,4,5,4,2,4,11,2,11,2,NA,2,16,4,5,3,NA,NA,3,2,2,21,6,4,5,2,3,7,8,6,4,8,NA,20,9,9,8,8,1,19,8,7
"Solyc04g080040.2.1",13,24,11,14,42,28,42,41,14,18,13,21,34,16,17,41,22,95,32,31,37,15,10,4,59,79,48,29,46,19,121,176,99,115,91,60,266,275,169,110,259,116,14,10,13,22,14,16,9,9,10,29,39,41,30,30,25,61,73,62,51,34,50
"Solyc04g080700.2.1",49,70,62,55,87,87,48,73,55,81,90,42,88,82,53,111,88,120,76,85,59,31,38,105,74,76,164,58,40,79,231,157,184,178,125,166,377,493,216,240,220,310,60,25,95,71,57,99,37,43,94,114,81,136,63,53,97,92,72,167,101,75,137
"Solyc04g080970.2.1",35,20,39,15,8,4,16,12,7,9,4,7,33,13,1,10,1,6,9,9,1,7,9,10,4,1,5,7,1,5,2,NA,NA,8,3,2,NA,1,1,NA,1,NA,20,11,16,23,12,3,9,10,12,17,3,9,8,12,14,5,10,5,16,15,7
"Solyc04g081510.2.1",29,23,38,34,24,35,32,35,42,40,37,15,46,37,24,38,28,24,37,31,18,29,24,32,21,11,25,35,22,28,17,14,15,38,12,28,15,18,17,13,12,24,38,22,45,42,29,25,22,21,32,24,27,19,31,23,28,22,22,33,35,24,40
"Solyc04g081930.2.1",10,14,11,7,8,10,5,8,5,6,8,NA,19,11,6,10,5,5,8,10,8,16,8,7,6,3,5,12,8,6,1,5,2,7,5,10,1,2,4,7,4,5,10,8,11,10,6,4,10,7,11,6,2,7,9,5,9,3,5,3,8,3,7
"Solyc04g082140.2.1",248,97,54,168,76,65,154,140,66,336,183,42,354,163,62,267,117,100,304,209,72,227,249,97,180,139,106,405,236,159,135,68,55,331,133,100,69,50,33,189,80,81,286,75,55,133,111,58,103,169,66,138,184,82,240,225,101,158,141,105,345,262,140
"Solyc05g005540.2.1",12,14,9,25,14,32,25,20,13,40,22,5,44,38,27,28,17,16,52,32,16,4,4,1,6,4,2,14,5,5,4,7,5,15,7,6,1,1,1,3,3,5,9,9,3,4,6,NA,7,6,8,7,8,7,20,11,11,10,7,7,22,13,6
"Solyc05g006740.2.1",3,7,2,11,25,9,2,5,12,17,9,7,5,9,17,29,51,66,24,20,24,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,40,1,2,NA,2,NA,2,NA,NA,8,2,3,7,14,15,5,10,6,24,29,27,16,16,4,107,80,76,33,30,20
"Solyc05g007480.1.1",9,14,8,6,17,7,18,20,19,7,5,6,19,9,15,37,24,37,16,17,20,2,11,13,2,22,21,16,26,43,27,21,32,31,35,69,36,47,38,30,53,49,4,2,4,2,4,3,NA,3,3,3,14,4,3,8,14,14,17,16,11,8,14
"Solyc05g007980.2.1",64,61,59,26,59,67,28,51,54,48,66,55,48,49,51,110,102,233,58,57,93,21,15,17,41,79,138,33,45,41,106,135,127,151,121,144,187,290,172,107,146,177,49,39,30,20,34,43,17,24,41,53,53,101,37,50,54,71,73,133,74,47,124
"Solyc05g009250.1.1",4,3,2,3,12,5,3,5,6,4,5,1,8,3,4,13,10,15,7,12,8,4,1,1,1,6,1,2,NA,3,6,8,1,6,5,7,8,6,3,3,2,6,6,5,3,NA,6,3,1,2,1,5,7,5,1,6,2,4,6,2,6,7,4
"Solyc05g009520.1.1",17,5,3,9,7,1,11,6,6,2,NA,1,15,4,3,4,3,1,7,6,3,2,8,4,2,NA,2,2,3,5,1,1,1,4,2,NA,4,15,2,4,3,4,13,6,7,11,10,4,7,3,5,9,8,2,9,5,3,3,2,3,12,7,6
"Solyc05g009760.1.1",10,6,6,16,16,16,2,2,4,12,13,1,21,9,10,19,14,14,13,12,12,2,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,11,NA,1,NA,4,1,NA,NA,NA,13,15,9,13,26,19,10,18,24,24,29,47,23,19,30,31,30,37,36,31,35
"Solyc05g013860.2.1",20,8,10,14,12,6,25,21,22,12,13,5,14,31,14,27,13,16,26,30,23,1,5,2,7,7,6,4,12,8,9,7,3,28,14,12,2,3,3,2,1,5,6,NA,NA,NA,NA,2,1,1,1,2,6,2,3,6,9,2,8,2,12,6,5
"Solyc05g041220.1.1",61,44,57,5,8,2,26,22,18,2,NA,NA,15,5,4,2,NA,NA,4,1,NA,17,9,13,1,NA,NA,3,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,59,37,18,NA,2,1,12,9,10,NA,NA,NA,7,2,6,1,NA,2,1,1,NA
"Solyc05g046320.1.1",36,15,14,23,14,10,21,17,7,12,13,2,32,14,10,6,NA,1,25,11,4,26,10,9,6,1,4,15,12,10,3,NA,NA,2,3,3,2,4,1,4,5,2,27,13,7,16,7,5,13,15,12,8,3,3,13,11,13,3,2,6,12,6,7
"Solyc05g051360.1.1",1,NA,1,NA,2,1,NA,3,1,NA,3,1,1,NA,NA,2,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2
"Solyc05g051380.2.1",30,25,18,2,3,NA,NA,NA,1,3,1,NA,1,1,NA,NA,6,2,3,NA,NA,2,2,NA,1,NA,1,2,3,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,11,3,3,9,NA,1,1,3,1,1,6,3,5,NA,3,4,3,5,7,2,10
"Solyc05g051870.2.1",8,4,NA,14,8,2,15,5,3,21,10,5,17,13,7,32,15,6,42,18,8,5,6,2,6,9,5,11,4,4,5,3,2,17,12,4,2,2,1,8,NA,4,11,NA,1,13,4,3,5,2,3,18,6,7,20,1,5,15,6,4,19,11,8
"Solyc05g052850.2.1",5,8,8,9,7,10,8,9,2,5,6,NA,14,11,8,7,6,2,8,7,3,13,9,12,5,3,6,5,4,15,NA,3,1,5,3,13,4,6,1,3,2,9,10,8,7,8,10,11,15,11,10,8,4,9,9,15,10,4,2,3,13,5,8
"Solyc05g055940.2.1",106,87,115,67,77,79,83,93,98,100,85,29,129,98,52,105,81,89,96,65,68,87,98,141,135,129,195,168,129,169,159,159,154,237,146,190,227,321,170,120,237,181,113,82,145,52,58,65,54,74,110,55,82,126,80,67,119,81,80,135,88,81,139
"Solyc06g007160.2.1",12,32,9,31,55,57,42,58,32,55,69,32,52,45,35,121,137,180,53,56,66,15,16,11,95,165,148,24,70,36,243,231,175,257,195,210,317,191,177,163,196,191,6,2,6,29,24,14,4,3,10,48,65,49,9,16,16,139,125,107,62,33,49
"Solyc06g008100.2.1",1,2,2,NA,1,NA,NA,2,1,NA,NA,NA,5,NA,NA,2,NA,NA,1,NA,1,1,1,NA,NA,NA,2,3,2,1,NA,1,NA,NA,NA,NA,2,1,NA,1,1,2,5,NA,1,1,NA,2,NA,2,1,NA,NA,3,NA,1,1,1,1,1,NA,NA,NA
"Solyc06g009330.2.1",16,6,11,14,11,12,14,15,14,13,9,1,13,16,11,13,6,9,9,16,6,13,8,13,15,9,14,10,13,15,10,15,10,25,10,17,8,5,11,5,7,19,23,24,31,17,24,13,16,21,24,27,35,29,28,26,36,29,16,21,24,15,34
"Solyc06g034140.1.1",28,8,17,17,18,7,25,12,21,27,18,3,26,20,10,14,6,10,19,18,8,15,17,9,9,5,19,22,13,8,8,8,12,14,9,9,6,7,5,7,5,6,41,17,15,14,15,8,15,19,7,6,2,2,22,16,12,4,1,6,8,7,4
"Solyc06g053440.2.1",16,6,9,12,13,10,10,8,9,14,11,2,20,10,9,49,22,15,51,19,11,16,11,21,19,16,12,22,20,10,4,NA,4,21,3,23,3,7,1,1,NA,5,18,7,5,8,7,4,9,12,7,14,16,13,23,13,6,13,9,2,24,17,5
"Solyc06g053690.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,2,2,2,NA,3,2,2,6,NA,2,1,2,1,1,1,NA,NA,1,NA,2,6,NA,2,7,2,2,2,1,3,3,1,1,5,2,2,1,NA,5,4,1,4
"Solyc06g053930.2.1",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,NA,3,NA,2,2,3,2,3,4,1,2,4,3,1,2,3,4,6,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,3,NA
"Solyc06g054580.2.1",8,7,8,9,13,16,6,10,8,10,7,2,13,12,7,8,5,9,9,11,5,9,3,4,4,6,7,4,8,10,7,2,6,8,5,11,2,9,6,4,2,5,11,10,6,15,10,10,3,7,4,7,6,10,8,4,10,7,5,11,14,7,9
"Solyc06g060620.2.1",37,23,30,43,65,43,46,68,50,89,73,25,61,80,33,61,40,47,70,69,36,34,33,46,17,16,11,63,47,41,22,8,2,54,22,10,29,46,13,47,63,15,55,23,39,42,41,41,18,54,66,44,60,46,86,64,68,40,15,17,75,47,41
"Solyc06g060770.2.1",6,13,6,5,10,3,10,16,5,10,2,3,4,5,3,23,14,12,7,3,7,8,8,26,17,46,40,13,23,30,69,75,81,58,56,78,97,94,109,40,77,82,7,5,7,8,5,5,3,7,6,8,12,19,5,6,7,32,25,26,12,13,14
"Solyc06g065380.2.1",NA,1,NA,NA,1,NA,8,4,1,4,2,1,2,4,NA,7,5,4,1,2,1,5,3,2,3,5,7,3,1,4,12,21,19,13,6,13,31,51,26,20,31,24,2,3,1,2,1,1,2,1,2,4,2,2,1,3,1,5,1,4,4,1,2
"Solyc06g065970.1.1",156,175,70,108,114,104,157,205,60,153,116,78,151,72,89,286,252,390,195,140,135,100,106,65,540,463,290,277,287,154,636,506,566,1022,524,735,412,161,317,242,288,307,211,95,97,145,112,79,68,89,72,241,336,281,157,131,104,737,421,682,408,382,291
"Solyc06g068570.2.1",3,9,8,9,22,14,8,22,18,7,23,16,8,21,16,19,31,65,19,26,33,7,12,23,6,11,42,15,16,32,15,14,42,33,23,67,13,23,22,14,24,53,9,3,17,4,12,23,4,8,11,3,13,25,6,14,20,17,19,28,31,17,35
"Solyc06g068690.2.1",28,23,28,13,25,17,19,23,41,11,10,11,25,40,23,19,5,11,27,23,33,4,4,12,5,6,22,4,5,20,8,18,28,20,17,32,12,18,33,10,25,47,12,3,8,3,9,14,4,6,14,8,15,17,7,8,26,7,10,38,19,14,35
"Solyc06g069000.2.1",11,12,1,16,4,10,16,20,3,19,3,5,23,11,8,19,3,7,23,15,4,12,13,12,34,24,25,24,22,17,27,31,32,37,34,40,19,7,8,23,15,26,7,2,3,7,1,2,6,4,4,3,8,5,4,7,3,6,7,5,12,7,5
"Solyc06g069250.1.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Solyc06g073730.1.1",81,44,37,39,36,35,51,46,45,70,38,21,89,86,48,67,40,47,84,76,54,30,36,72,35,40,98,58,55,93,50,57,77,90,63,100,66,106,109,78,81,141,33,14,24,21,22,23,21,22,31,16,47,44,36,46,50,40,33,42,61,57,62
